"LEVEL_ID","LOCATION_TYPE","PARENT_STATION","PLATFORM_CODE","STOP_CODE","STOP_DESC","STOP_ID","STOP_LAT","STOP_LON","STOP_NAME","STOP_TIMEZONE","STOP_URL","WHEELCHAIR_BOARDING","ZONE_ID"
"","0","","","","","10350604","52.3861056334365","31.02960515022278","ул. ""Ленинградская""","Europe/Minsk","","0",""
"","0","","","","","10351628","52.389784570471626","31.029857635498047","2-я школа","Europe/Minsk","","0",""
"","0","","","","","10370060","52.40461374355548","30.914485454559326","Микрорайон ""Молодёжный""","Europe/Minsk","","0",""
"","0","","","","","4312076","52.40425106664901","30.94128429889679","Технический университет ","Europe/Minsk","","0",""
"","0","","","","","4315148","52.404628713486694","30.9403239944458","Технический университет","Europe/Minsk","","0",""
"","0","","","","","251916","52.40507829696121","30.942041873931885","Технический университет","Europe/Minsk","","0",""
"","0","","","","","253964","52.405165961975754","30.941383957862854","Технический университет","Europe/Minsk","","0",""
"","0","","","","","10470412","52.40481445009256","30.905725955963135","Машиностроительный колледж","Europe/Minsk","","0",""
"","0","","","","","10372108","52.40340278580277","30.908374071121216","Солнечная","Europe/Minsk","","0",""
"","0","","","","","1056780","52.40541706338475","30.904916925964354","Машиностроительный колледж","Europe/Minsk","","0",""
"","0","","","","","1060876","52.403688229472934","30.906643390655518","Солнечная","Europe/Minsk","","0",""
"","0","","","","","11033612","52.403213412944424","30.90835189819336","Солнечная","Europe/Minsk","","0",""
"","0","","","","","505868","52.402664486212565","30.907889485359192","Солнечная","Europe/Minsk","","0",""
"","0","","","","","11361292","52.39852342602246","30.958890245246888","ул. Серегина","Europe/Minsk","","0",""
"","0","","","","","11362316","52.39882805388104","30.961310386657715","ул. Серегина","Europe/Minsk","","0",""
"","0","","","","","3962892","52.396598224700206","30.952973292160035","мкр-н ""Шведская горка""","Europe/Minsk","","0",""
"","0","","","","","10430476","52.40831251454501","30.962045431137085","ОАО ""Татьяна""","Europe/Minsk","","0",""
"","0","","","","","10431500","52.40664725073541","30.955533742904663","Мотороремонтный Завод","Europe/Minsk","","0",""
"","0","","","","","10432524","52.40581556715213","30.947469472885132","Обл. больница","Europe/Minsk","","0",""
"","0","","","","","10434572","52.405856484382475","30.949599981307983","Обл. больница","Europe/Minsk","","0",""
"","0","","","","","10435596","52.40626297096147","30.95363426208496","Мотороремонтный Завод","Europe/Minsk","","0",""
"","0","","","","","10436620","52.40869742795246","30.963857889175415","Магазин Арэса","Europe/Minsk","","0",""
"","0","","","","","4311052","52.401861900487674","30.946497559547424","ул. Братьев Лизюковых","Europe/Minsk","","0",""
"","0","","","","","4316172","52.402748273514575","30.945549249649048","ул. Братьев Лизюковых","Europe/Minsk","","0",""
"","0","","","","","1072140","52.40766566568702","30.961605548858643","ул. Карбышева","Europe/Minsk","","0",""
"","0","","","","","1073164","52.40637439195143","30.96306538581848","ул. Карбышева","Europe/Minsk","","0",""
"","0","","","","","1074188","52.404023346174625","30.964471101760864","ОАО ""Милкавита""","Europe/Minsk","","0",""
"","0","","","","","1075212","52.400779724121094","30.966623306274414","ул. Пенязькова","Europe/Minsk","","0",""
